Rank,Name,Height,Weight,Rating,Votes,City,State,Country
436,Paul London,178,82,8.07,333,Austin, Texas, USA
437,Taylor Wilde,160,55,8.06,130,Toronto, Ontario, Canada
439,TAJIRI,172,82,8.06,271,Tamana, Kumamoto, Japan
440,Yuma Aoyagi,186,90,8.06,33,Matsumoto, Nagano, Japan
441,Rhea Ripley,170,62,8.06,145,Adelaide, South Australia, Australia
442,Bruiser Brody,201,128,8.05,84,Pennsylvania, USA,
443,Cedric Alexander,178,93,8.05,195,Charlotte, North Carolina, USA
444,Kalisto,167,77,8.04,240,Chicago, Illinois, USA
445,Tessa Blanchard,165,56,8.04,116,Charlotte, North Carolina, USA
446,Hikaru Sato,174,92,8.04,26,Okayama, Japan,
447,Randy Orton,193,110,8.04,1410,Knoxville, Tennessee, USA
449,Hakeem Waqur,181,123,8.03,35,Tayibe, Israel,
450,Blue Nikita,170,65,8.03,86,Thessaloniki, Griechenland,
452,Cibernetico,184,107,8.03,28,Aguascalientes, Mexiko,
